workflow,job,run_id,job_id,result,started_at,completed_at,job_seconds,queue_seconds,url
"CI","Quick Gate","35126267165","104895948408","success","2026-09-16T17:08:06Z","2026-09-16T17:14:12Z","366","3","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104895948408"
"CI","Linux (ubuntu)","35126267165","104898087060","success","2026-09-16T17:14:17Z","2026-09-16T17:28:46Z","869","5","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087060"
"CI","macOS (ARM64)","35126267165","104898087077","success","2026-09-16T17:14:24Z","2026-09-16T17:24:56Z","632","12","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087077"
"CI","Portable Rust","35126267165","104898087119","success","2026-09-16T17:14:23Z","2026-09-16T17:25:04Z","641","11","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087119"
"CI","Intersections (debian-pgp)","35126267165","104898087155","success","2026-09-16T17:14:15Z","2026-09-16T17:15:44Z","89","3","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087155"
"CI","Linux (debian)","35126267165","104898087179","success","2026-09-16T17:14:14Z","2026-09-16T17:34:39Z","1225","2","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087179"
"CI","Linux (fedora)","35126267165","104898087195","success","2026-09-16T17:14:14Z","2026-09-16T17:27:14Z","780","2","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087195"
"CI","Linux (arch)","35126267165","104898087247","success","2026-09-16T17:14:14Z","2026-09-16T17:28:27Z","853","2","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087247"
"CI","Linux (debian-trixie)","35126267165","104898087348","success","2026-09-16T17:14:15Z","2026-09-16T17:34:09Z","1194","3","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104898087348"
"CI","AUR sandbox security regressions","35126267165","104905166878","success","2026-09-16T17:34:41Z","2026-09-16T17:35:04Z","23","2","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104905166878"
"CI","CI Success","35126267165","104905309192","success","2026-09-16T17:35:06Z","2026-09-16T17:35:09Z","3","2","https://github.com/omg-cli/omg/actions/runs/35126267165/job/104905309192"
"QEMU Matrix","Resolve test selection and provenance","35126267432","104895949819","success","2026-09-16T17:08:06Z","2026-09-16T17:08:27Z","21","3","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104895949819"
"QEMU Matrix","Distro lane (fedora) / Staged build (fedora)","35126267432","104896091920","success","2026-09-16T17:08:30Z","2026-09-16T17:15:03Z","393","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104896091920"
"QEMU Matrix","Distro lane (arch) / Staged build (arch)","35126267432","104896091960","success","2026-09-16T17:08:30Z","2026-09-16T17:14:29Z","359","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104896091960"
"QEMU Matrix","Distro lane (ubuntu) / Staged build (ubuntu)","35126267432","104896091967","success","2026-09-16T17:08:30Z","2026-09-16T17:24:25Z","955","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104896091967"
"QEMU Matrix","Distro lane (debian) / Staged build (debian)","35126267432","104896092272","success","2026-09-16T17:08:30Z","2026-09-16T17:15:21Z","411","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104896092272"
"QEMU Matrix","Distro lane (arch) / QEMU guest (arch)","35126267432","104898187605","success","2026-09-16T17:14:32Z","2026-09-16T17:20:02Z","330","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104898187605"
"QEMU Matrix","Distro lane (fedora) / QEMU guest (fedora)","35126267432","104898376731","success","2026-09-16T17:15:06Z","2026-09-16T17:22:49Z","463","3","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104898376731"
"QEMU Matrix","Distro lane (debian) / QEMU guest (debian)","35126267432","104898486295","success","2026-09-16T17:15:24Z","2026-09-16T17:20:52Z","328","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104898486295"
"QEMU Matrix","Distro lane (ubuntu) / QEMU guest (ubuntu)","35126267432","104901641791","success","2026-09-16T17:24:27Z","2026-09-16T17:31:33Z","426","2","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104901641791"
"QEMU Matrix","QEMU matrix result","35126267432","104904107149","success","2026-09-16T17:31:36Z","2026-09-16T17:31:44Z","8","3","https://github.com/omg-cli/omg/actions/runs/35126267432/job/104904107149"
"Docker E2E Tests","docker-e2e","35126267170","104895948163","success","2026-09-16T17:08:06Z","2026-09-16T17:18:26Z","620","3","https://github.com/omg-cli/omg/actions/runs/35126267170/job/104895948163"
"Code Coverage","Classify coverage scope","35126267163","104895948086","success","2026-09-16T17:08:08Z","2026-09-16T17:08:15Z","7","5","https://github.com/omg-cli/omg/actions/runs/35126267163/job/104895948086"
"Code Coverage","Instrumented coverage tests","35126267163","104896015840","failure","2026-09-16T17:08:18Z","2026-09-16T17:21:42Z","804","3","https://github.com/omg-cli/omg/actions/runs/35126267163/job/104896015840"
"Code Coverage","Generate Coverage Report","35126267163","104900705889","failure","2026-09-16T17:21:45Z","2026-09-16T17:21:47Z","2","2","https://github.com/omg-cli/omg/actions/runs/35126267163/job/104900705889"
"CodeQL Analysis","Analyze","35126267167","104895948127","success","2026-09-16T17:08:06Z","2026-09-16T17:21:05Z","779","3","https://github.com/omg-cli/omg/actions/runs/35126267167/job/104895948127"
"CodeQL Analysis","Analyze workflow security","35126267167","104895948301","success","2026-09-16T17:08:06Z","2026-09-16T17:08:48Z","42","3","https://github.com/omg-cli/omg/actions/runs/35126267167/job/104895948301"
"Secret Scanning","Gitleaks Secret Scan","35126267197","104895948411","success","2026-09-16T17:08:05Z","2026-09-16T17:08:13Z","8","2","https://github.com/omg-cli/omg/actions/runs/35126267197/job/104895948411"
"Secret Scanning","TruffleHog Secret Scan","35126267197","104895948651","success","2026-09-16T17:08:06Z","2026-09-16T17:08:33Z","27","3","https://github.com/omg-cli/omg/actions/runs/35126267197/job/104895948651"
"Release Smoke","Runner fixtures","35126267168","104895948331","success","2026-09-16T17:08:05Z","2026-09-16T17:08:20Z","15","2","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104895948331"
"Release Smoke","Resolve release once","35126267168","104895948675","success","2026-09-16T17:08:06Z","2026-09-16T17:08:10Z","4","3","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104895948675"
"Release Smoke","Smoke macos (native)","35126267168","104896045603","success","2026-09-16T17:08:27Z","2026-09-16T17:09:50Z","83","7","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104896045603"
"Release Smoke","Smoke fedora","35126267168","104896045690","success","2026-09-16T17:08:24Z","2026-09-16T17:09:33Z","69","4","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104896045690"
"Release Smoke","Smoke ubuntu","35126267168","104896045699","success","2026-09-16T17:08:22Z","2026-09-16T17:09:02Z","40","2","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104896045699"
"Release Smoke","Smoke debian","35126267168","104896045734","success","2026-09-16T17:08:22Z","2026-09-16T17:08:50Z","28","2","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104896045734"
"Release Smoke","Smoke arch","35126267168","104896045773","success","2026-09-16T17:08:23Z","2026-09-16T17:09:49Z","86","3","https://github.com/omg-cli/omg/actions/runs/35126267168/job/104896045773"
